state,year,first_name,last_name,party,sex,died,status,win_margin,region,outcome,election_age,death_age,lived_after
Arizona,1911,George,Hunt,Democrat,Male,1934-12-24,Challenger,9.645620779732852,West,Win,52.0082135523614,75.14305270362765,23.134839151266256
Arizona,1911,Edward,Wells,Republican,Male,1938-07-04,Challenger,-9.645620779732852,West,Lose,65.71937029431896,92.38056125941137,26.661190965092402
Arizona,1914,Ralph,Cameron,Republican,Male,1953-02-12,Challenger,-17.80143831138507,West,Lose,51.03901437371663,89.31143052703628,38.27241615331965
Arizona,1914,George,Hunt,Democrat,Male,1934-12-24,Challenger,17.80143831138507,West,Win,55.00889801505818,75.14305270362765,20.134154688569474
Arizona,1916,Thomas,Campbell,Republican,Male,1944-03-01,Challenger,0.05364614999463413,West,Win,38.795345653661876,66.11362080766598,27.318275154004105
Arizona,1916,George,Hunt,Democrat,Male,1934-12-24,Challenger,-0.05364614999463413,West,Lose,57.01026694045174,75.14305270362765,18.132785763175907
Arizona,1918,Thomas,Campbell,Republican,Male,1944-03-01,Challenger,0.6580607590022396,West,Win,40.79397672826831,66.11362080766598,25.319644079397673
Arizona,1918,Fred,Colter,Democrat,Male,1944-01-08,Challenger,-0.6580607590022396,West,Lose,39.75359342915811,64.92813141683779,25.17453798767967
Arizona,1920,Thomas,Campbell,Republican,Male,1944-03-01,Challenger,8.291328804149316,West,Win,42.795345653661876,66.11362080766598,23.318275154004105
Arizona,1920,Mit,Simms,Democrat,Male,1957-07-22,Challenger,-8.291328804149316,West,Lose,47.23066392881588,83.93976728268309,36.709103353867214
Arizona,1922,Thomas,Campbell,Republican,Male,1944-03-01,Challenger,-9.882342546643308,West,Lose,44.79397672826831,66.11362080766598,21.319644079397673
Arizona,1922,George,Hunt,Democrat,Male,1934-12-24,Challenger,9.882342546643308,West,Win,63.00889801505818,75.14305270362765,12.134154688569472
Arizona,1924,Dwight,Heard,Republican,Male,1929-07-01,Challenger,-1.0547384222377332,West,Lose,55.34565366187543,59.997262149212865,4.65160848733744
Arizona,1924,George,Hunt,Democrat,Male,1934-12-24,Challenger,1.0547384222377332,West,Win,65.01026694045174,75.14305270362765,10.132785763175907
Arizona,1926,E.,Clark,Republican,Male,1955-07-01,Challenger,-0.5015145992282442,West,Lose,64.34496919917865,92.99657768651609,28.65160848733744
Arizona,1926,George,Hunt,Democrat,Male,1934-12-24,Challenger,0.5015145992282442,West,Win,67.00889801505818,75.14305270362765,8.134154688569472
Arizona,1928,George,Hunt,Democrat,Male,1934-12-24,Challenger,-3.546145352990841,West,Lose,69.01026694045174,75.14305270362765,6.132785763175907
Arizona,1928,John,Phillips,Republican,Male,1943-06-25,Challenger,3.546145352990841,West,Win,57.97672826830938,72.61054072553046,14.633812457221081
Arizona,1930,George,Hunt,Democrat,Male,1934-12-24,Challenger,2.7800559375854306,West,Win,71.00889801505818,75.14305270362765,4.134154688569473
Arizona,1930,John,Phillips,Republican,Male,1943-06-25,Challenger,-2.7800559375854306,West,Lose,59.97535934291581,72.61054072553046,12.635181382614647
Arizona,1932,J.,Kinney,Republican,Male,1949-07-18,Challenger,-28.17658871983391,West,Lose,60.31759069130732,77.01574264202601,16.698151950718685
Arizona,1932,Benjamin,Moeur,Democrat,Male,1937-03-16,Challenger,28.17658871983391,West,Win,62.86926762491444,67.22792607802874,4.358658453114305
Arizona,1934,Thomas,Maddock,Republican,Male,1899-06-16,Challenger,-21.981768840025055,West,Lose,116.59411362080766,81.20739219712526,-35.38672142368241
Arizona,1934,Benjamin,Moeur,Democrat,Male,1937-03-16,Challenger,21.981768840025055,West,Win,64.86789869952088,67.22792607802874,2.3600273785078714
Arizona,1936,Thomas,Campbell,Republican,Male,1944-03-01,Challenger,-41.65374176037224,West,Lose,58.795345653661876,66.11362080766598,7.318275154004107
Arizona,1936,Rawghile,Stanford,Democrat,Male,1963-12-15,Challenger,41.65374176037224,West,Win,57.25941136208077,84.3668720054757,27.107460643394933
Arizona,1938,Robert,Jones,Democrat,Male,1958-06-11,Challenger,43.00715480724736,West,Win,54.7378507871321,74.33538672142369,19.59753593429158
Arizona,1938,Jerrie,Lee,Republican,Male,1971-07-01,Challenger,-43.00715480724736,West,Lose,48.34496919917864,80.99657768651609,32.65160848733744
Arizona,1940,Jerrie,Lee,Republican,Male,1971-07-01,Challenger,-31.93209158984618,West,Lose,50.34633812457221,80.99657768651609,30.650239561943874
Arizona,1940,Sidney,Osborn,Democrat,Male,1948-05-25,Challenger,31.93209158984618,West,Win,56.46817248459959,64.01916495550992,7.5509924709103355
Arizona,1942,Jerrie,Lee,Republican,Male,1971-07-01,Challenger,-45.863106863037935,West,Lose,52.34496919917864,80.99657768651609,28.65160848733744
Arizona,1942,Sidney,Osborn,Democrat,Male,1948-05-25,Challenger,45.863106863037935,West,Win,58.46680355920602,64.01916495550992,5.552361396303901
Arizona,1944,Jerrie,Lee,Republican,Male,1971-07-01,Challenger,-57.23127367999937,West,Lose,54.34633812457221,80.99657768651609,26.650239561943874
Arizona,1944,Sidney,Osborn,Democrat,Male,1948-05-25,Challenger,57.23127367999937,West,Win,60.46817248459959,64.01916495550992,3.5509924709103355
Arizona,1946,Bruce,Brockett,Republican,Male,1971-02-04,Challenger,-20.192386209599704,West,Lose,49.02669404517454,73.27583846680356,24.249144421629023
Arizona,1946,Sidney,Osborn,Democrat,Male,1948-05-25,Incumbent,20.192386209599704,West,Win,62.46680355920602,64.01916495550992,1.5523613963039014
Arizona,1948,Bruce,Brockett,Republican,Male,1971-02-04,Challenger,-19.256766440975305,West,Lose,51.0280629705681,73.27583846680356,22.247775496235455
Arizona,1948,Dan,Garvey,Democrat,Male,1974-02-05,Challenger,19.256766440975305,West,Win,62.379192334017795,87.63039014373716,25.251197809719372
Arizona,1950,Ana,Frohmiller,Democrat,Female,1971-11-25,Challenger,-1.532062675756947,West,Lose,59.34565366187543,80.39972621492129,21.05407255304586
Arizona,1950,Howard,Pyle,Republican,Male,1987-11-29,Challenger,1.532062675756947,West,Win,44.616016427104725,81.6810403832991,37.06502395619439
Arizona,1952,Howard,Pyle,Republican,Male,1987-11-29,Incumbent,20.323491557331387,West,Win,46.61738535249829,81.6810403832991,35.063655030800824
Arizona,1954,Ernest,Mcfarland,Democrat,Male,1984-06-08,Challenger,5.016190515227279,West,Win,60.07118412046543,89.66187542778918,29.590691307323752
Arizona,1954,Howard,Pyle,Republican,Male,1987-11-29,Incumbent,-5.016190515227279,West,Lose,48.616016427104725,81.6810403832991,33.06502395619439
Arizona,1956,Horace,Griffen,Republican,Male,1972-07-01,Challenger,-19.094084382103446,West,Lose,61.85352498288843,77.50581793292265,15.652292950034223
Arizona,1956,Ernest,Mcfarland,Democrat,Male,1984-06-08,Incumbent,19.094084382103446,West,Win,62.072553045859,89.66187542778918,27.589322381930184
Arizona,1958,Paul,Fannin,Republican,Male,2002-01-13,Challenger,10.26182156197821,West,Win,51.76728268309377,94.95687885010267,43.1895961670089
Arizona,1958,Robert,Morrison,Democrat,Male,1999-07-08,Challenger,-10.26182156197821,West,Lose,49.63997262149213,90.3107460643395,40.67077344284736
Arizona,1960,Lee,Ackerman,Democrat,Male,1995-11-13,Challenger,-18.608838423900863,West,Lose,39.01984941820671,74.03969883641342,35.01984941820671
Arizona,1960,Paul,Fannin,Republican,Male,2002-01-13,Incumbent,18.608838423900863,West,Win,53.76865160848734,94.95687885010267,41.18822724161533
Arizona,1962,Paul,Fannin,Republican,Male,2002-01-13,Incumbent,9.653100663949644,West,Win,55.76728268309377,94.95687885010267,39.1895961670089
Arizona,1962,Sam,Goddard,Democrat,Male,2006-02-01,Challenger,-9.653100663949644,West,Lose,43.24435318275154,86.48596851471595,43.24161533196441
Arizona,1964,Sam,Goddard,Democrat,Male,2006-02-01,Challenger,6.482337983788881,West,Win,45.24572210814511,86.48596851471595,41.24024640657084
Arizona,1964,Richard,Kleindienst,Republican,Male,2000-02-03,Challenger,-6.482337983788881,West,Lose,41.2539356605065,76.49828884325804,35.24435318275154
Arizona,1966,Sam,Goddard,Democrat,Male,2006-02-01,Incumbent,-7.541853666788249,West,Lose,47.24435318275154,86.48596851471595,39.24161533196441
Arizona,1966,Jack,Williams,Republican,Male,1998-08-24,Challenger,7.541853666788249,West,Win,57.01848049281314,88.8186173853525,31.800136892539356
Arizona,1968,Sam,Goddard,Democrat,Male,2006-02-01,Challenger,-15.671139136938578,West,Lose,49.24572210814511,86.48596851471595,37.24024640657084
Arizona,1968,Jack,Williams,Republican,Male,1998-08-24,Incumbent,15.671139136938578,West,Win,59.01984941820671,88.8186173853525,29.79876796714579
Arizona,1970,Raul,Castro,Democrat,Male,2015-04-10,Challenger,-1.8558174468715976,West,Lose,54.39835728952772,98.82546201232033,44.427104722792606
Arizona,1970,Jack,Williams,Republican,Male,1998-08-24,Incumbent,1.8558174468715976,West,Win,61.01848049281314,88.8186173853525,27.800136892539356
Arizona,1974,Raul,Castro,Democrat,Male,2015-04-10,Challenger,0.8515548438634966,West,Win,58.39835728952772,98.82546201232033,40.427104722792606
Arizona,1974,Jack,Williams,Republican,Male,1998-08-24,Incumbent,-0.8515548438634966,West,Lose,65.01848049281314,88.8186173853525,23.800136892539356
Arizona,1978,Evan,Mecham,Republican,Male,2008-02-21,Challenger,-7.926705849554516,West,Lose,54.483230663928815,83.77823408624229,29.295003422313485
Arizona,1986,Evan,Mecham,Republican,Male,2008-02-21,Challenger,6.988189435665632,West,Win,62.483230663928815,83.77823408624229,21.295003422313485
Arizona,1986,Carolyn,Warner,Democrat,Female,2018-10-09,Challenger,-6.988189435665632,West,Lose,56.26009582477755,88.18617385352498,31.926078028747433
Arizona,1994,Eddie,Basha,Democrat,Male,2013-03-26,Challenger,-8.480214660288766,West,Lose,57.19917864476386,75.58658453114305,18.38740588637919
Arkansas,1852,Elias,Conway,Democrat,Male,1892-02-28,Challenger,10.870189546237796,South,Win,40.47091033538672,79.78370978781656,39.31279945242984
Arkansas,1856,Elias,Conway,Democrat,Male,1892-02-28,Challenger,28.84440400363967,South,Win,44.47091033538672,79.78370978781656,35.31279945242984
